,Name,Rank,True_Rank,Score,Location,Tuition,Total_Enrollment,Acceptance_Rate,Retention_Rate,Graduation_Rate,X,Ranking_Value,Return_Value,Total_Cost,Duration_Value,Loan
51,Harvard University,1,2,99 out of 100.,"Cambridge, MA","$43,938","19,882",0.06,0.97,0.97,28,34,646100,227000,4 Years,25080
52,Hofstra University,130,135,38 out of 100.,"Hempstead, NY","$38,900","10,928",0.59,0.78,0.62,146,195,409200,203800,4 Years,40400
53,Howard University,140,145,35 out of 100.,"Washington, DC","$23,970","10,297",0.57,0.82,0.61,294,433,291900,151100,4 Years,34040
54,Idaho State University,269,Unranked,Unranked.,"Pocatello, ID","in-state: $6,344, out-of-state: $18,676",,0.97,,0.31,197,277,364700,78300,6 Years,23760
55,Illinois Institute of Technology,113,116,42 out of 100.,"Chicago, IL","$41,335","7,850",0.57,0.93,0.63,51,63,561200,201800,5 Years,29360
56,Illinois State University,137,142,36 out of 100.,"Normal, IL","in-state: $12,830, out-of-state: $20,420","20,272",0.69,0.84,0.72,378,562,252200,100800,4 Years,29200
57,Immaculata University,177,181,27 out of 100.,"Immaculata, PA","$30,740","3,675",0.82,0.82,0.48,404,605,236400,186600,4 Years,34360
58,Indiana State University,212,RNP,U.S. News calculated a numerical rank but does not publish it.,"Terre Haute, IN","in-state: $8,416, out-of-state: $18,346","12,448",0.83,0.62,0.42,490,743,192500,80500,5 Years,27880
59,Indiana University,76,76,50 out of 100.,"Bloomington, IN","in-state: $10,388, out-of-state: $33,241","46,817",0.72,0.89,0.77,270,397,303000,90000,4 Years,30520
60,Indiana University of Pennsylvania,213,RNP,U.S. News calculated a numerical rank but does not publish it.,"Indiana, PA","in-state: $9,470, out-of-state: $19,700","14,728",0.91,0.75,0.51,451,683,212000,91000,4 Years,33040
61,Indiana University-Purdue University - Indianapolis,190,194,25 out of 100.,"Indianapolis, IN","in-state: $8,909, out-of-state: $30,089","30,488",0.7,0.72,0.42,343,502,270600,92400,5 Years,25440
62,Iowa State University,101,106,44 out of 100.,"Ames, IA","in-state: $7,731, out-of-state: $20,617","32,955",0.86,0.87,0.68,114,153,447700,75300,5 Years,26360
63,Jackson State University,214,RNP,U.S. News calculated a numerical rank but does not publish it.,"Jackson, MS","in-state: $6,348, out-of-state: $15,552",,0.65,0.73,0.42,789,1212,-64600,77600,5 Years,29200
64,Johns Hopkins University,11,12,89 out of 100.,"Baltimore, MD","$47,060","21,052",0.17,0.97,0.93,45,56,589700,233300,4 Years,24920
65,Kansas State University,138,142,36 out of 100.,"Manhattan, KS","in-state: $9,034, out-of-state: $22,624","24,581",0.96,0.81,0.6,186,260,372400,80600,5 Years,24240
66,Kent State University,191,194,25 out of 100.,"Kent, OH","in-state: $10,012, out-of-state: $17,972","28,998",0.83,0.77,0.51,574,868,155800,97200,5 Years,29960
67,Lamar University,215,RNP,U.S. News calculated a numerical rank but does not publish it.,"Beaumont, TX","in-state: $9,361, out-of-state: $19,681","14,035",0.77,0.59,0.34,148,198,406900,86100,5 Years,24640
68,Lehigh University,39,40,63 out of 100.,"Bethlehem, PA","$44,890","7,096",0.31,0.94,0.86,41,52,593800,219200,4 Years,32320
69,Louisiana State University and Agricultural & Mechanical College,125,129,39 out of 100.,"Baton Rouge, LA","in-state: $8,750, out-of-state: $26,467","30,478",0.75,0.84,0.69,144,193,410300,82700,5 Years,24640
70,Louisiana Tech University,196,201,24 out of 100.,"Ruston, LA","in-state: $8,052, out-of-state: $22,635","11,015",0.67,0.77,0.5,122,164,440200,69400,5 Years,19840
71,"Loyola University - Chicago, IL",102,106,44 out of 100.,"Chicago, IL","$37,412","15,957",0.91,0.86,0.71,461,698,208500,194500,4 Years,32080
72,Marquette University,77,76,50 out of 100.,"Milwaukee, WI","$35,930","11,782",0.58,0.89,0.78,241,350,319500,183500,4 Years,34120
73,Maryville University of Saint Louis,151,156,32 out of 100.,"St Louis, MO","$25,884","5,033",0.76,0.85,0.67,596,909,145300,157700,4 Years,44000
74,Massachusetts Institute of Technology,6,7,93 out of 100.,"Cambridge, MA","$45,016","11,301",0.08,0.98,0.93,6,7,798500,224500,4 Years,33680
75,"Miami University - Oxford, OH",78,76,50 out of 100.,"Oxford, OH","in-state: $14,287, out-of-state: $30,394","17,901",0.67,0.89,0.81,140,189,412800,120200,4 Years,29280
76,Michigan State University,80,85,49 out of 100.,"East Lansing, MI","in-state: $13,200, out-of-state: $34,980","49,343",0.69,0.91,0.78,145,194,409400,93600,4 Years,27800
77,Michigan Technological University,114,116,42 out of 100.,"Houghton, MI","in-state: $14,040, out-of-state: $29,520","6,979",0.78,0.82,0.66,24,30,661700,101300,5 Years,29240
78,Middle Tennessee State University,217,RNP,U.S. News calculated a numerical rank but does not publish it.,"Murfreesboro, TN","in-state: $7,370, out-of-state: $24,434","23,881",0.7,0.71,0.47,590,901,147800,85200,5 Years,22160
79,Mississippi State University,152,156,32 out of 100.,"Mississippi State, MS","in-state: $6,772, out-of-state: $16,960","20,161",0.71,0.81,0.59,321,472,281300,81700,5 Years,27160
80,Missouri University of Science and Technology,134,138,37 out of 100.,"Rolla, MO","in-state: $9,537, out-of-state: $25,404","8,130",0.82,0.84,0.63,12,14,726000,87000,5 Years,26400
81,Montana State University - Main Campus,218,RNP,U.S. News calculated a numerical rank but does not publish it.,"Bozeman, MT","in-state: $6,894, out-of-state: $21,296","15,294",0.85,0.75,0.49,220,316,337500,75500,5 Years,26120
82,Morgan State University,219,RNP,U.S. News calculated a numerical rank but does not publish it.,"Baltimore, MD","in-state: $7,378, out-of-state: $16,862","7,546",0.56,0.72,0.35,395,593,239200,83800,5 Years,31080
83,New Jersey Institute of Technology,145,149,34 out of 100.,"Newark, NJ","in-state: $15,602, out-of-state: $28,274","10,130",0.66,0.83,0.58,21,26,680800,122200,5 Years,32360
84,New Mexico State University - Main Campus,221,RNP,U.S. News calculated a numerical rank but does not publish it.,"Las Cruces, NM","in-state: $6,573, out-of-state: $20,658","16,765",0.852,0.72,0.43,137,186,417800,75200,5 Years,19960
85,New York University,31,32,68 out of 100.,"New York, NY","$46,170","44,599",0.32,0.92,0.84,128,174,433700,239300,4 Years,34400
86,North Carolina A&T State University,222,RNP,U.S. News calculated a numerical rank but does not publish it.,"Greensboro, NC","in-state: $5,422, out-of-state: $16,503","10,561",0.565,0.73,0.42,360,529,264000,60200,5 Years,29680
87,North Carolina State University,92,95,47 out of 100.,"Raleigh, NC","in-state: $8,296, out-of-state: $23,551","34,009",0.47,0.92,0.74,99,129,472400,80600,5 Years,23360
88,North Dakota State University,178,181,27 out of 100.,"Fargo, ND","in-state: $7,660, out-of-state: $18,242","14,629",0.84,0.78,0.53,135,184,418300,74700,5 Years,33080
89,Northeastern University,42,42,62 out of 100.,"Boston, MA","$43,440","20,034",0.32,0.95,0.83,105,139,462700,220300,5 Years,25640
90,Northern Arizona University,223,RNP,U.S. News calculated a numerical rank but does not publish it.,"Flagstaff, AZ","in-state: $9,990, out-of-state: $22,510","26,606",0.914,0.73,0.49,427,644,224100,88900,4 Years,25280
91,Northern Illinois University,192,194,25 out of 100.,"DeKalb, IL","in-state: $13,636, out-of-state: $22,914","21,138",0.52,0.7,0.51,208,292,354100,108900,5 Years,31640
92,Northwestern University,12,13,88 out of 100.,"Evanston, IL","$47,251","20,997",0.14,0.97,0.94,98,128,473700,239300,4 Years,23200
93,Nova Southeastern University,224,RNP,U.S. News calculated a numerical rank but does not publish it.,"Ft. Lauderdale, FL","$26,700","25,670",0.575,0.71,0.41,489,741,193000,160000,4 Years,34880
94,"Oakland University - Rochester Hills, MI",225,RNP,U.S. News calculated a numerical rank but does not publish it.,"Rochester, MI","in-state: $11,460, out-of-state: $24,735","20,169",0.66,0.74,0.43,191,271,367500,85500,5 Years,23200
95,Ohio State University,54,54,58 out of 100.,"Columbus, OH","in-state: $10,037, out-of-state: $26,537","57,466",0.56,0.93,0.83,202,284,359900,103100,4 Years,28520
96,Ohio University - Main Campus,126,129,39 out of 100.,"Athens, OH","in-state: $10,536, out-of-state: $19,500","28,786",0.73,0.8,0.67,231,336,327200,95800,4 Years,31720
97,Oklahoma State University,141,145,35 out of 100.,"Stillwater, OK","in-state: $7,442, out-of-state: $20,027","25,939",0.76,0.79,0.61,212,301,348500,84500,5 Years,23600
98,Old Dominion University,226,RNP,U.S. News calculated a numerical rank but does not publish it.,"Norfolk, VA","in-state: $9,280, out-of-state: $25,030","24,828",0.768,0.8,0.51,297,437,291100,81900,5 Years,27560
99,Oregon State University,135,138,37 out of 100.,"Corvallis, OR","in-state: $8,276, out-of-state: $23,540","27,925",0.79,0.83,0.61,170,235,384100,88900,5 Years,24880
100,"Pace University - New York, NY",172,173,28 out of 100.,"New York, NY","$39,747","12,624",0.81,0.77,0.51,133,181,423600,209400,4 Years,33320
101,Pennsylvania State University,47,48,60 out of 100.,"University Park, PA","in-state: $17,502, out-of-state: $30,452","46,615",0.56,0.92,0.85,78,98,506500,116500,4 Years,33240
102,Pepperdine University,55,54,58 out of 100.,"Malibu, CA","$46,692","7,315",0.37,0.91,0.8,237,344,324600,228400,4 Years,28920
103,Portland State University,228,RNP,U.S. News calculated a numerical rank but does not publish it.,"Portland, OR","in-state: $7,878, out-of-state: $23,088",,0.83,0.72,0.39,363,535,262400,90600,5 Years,24320
104,Princeton University,0,1,100 out of 100.,"Princeton, NJ","$41,820","8,014",0.07,0.98,0.97,8,9,795700,217300,4 Years,17040
105,Purdue University - Main Campus,63,62,56 out of 100.,"West Lafayette, IN","in-state: $10,002, out-of-state: $28,804","38,788",0.6,0.9,0.71,42,53,591700,91300,5 Years,29840
106,Rensselaer Polytechnic Institute,43,42,62 out of 100.,"Troy, NY","$47,908","6,995",0.41,0.93,0.85,22,27,680500,232500,4 Years,40800
107,Rice University,18,19,82 out of 100.,"Houston, TX","$40,566","6,628",0.17,0.97,0.91,16,19,708400,204600,4 Years,24920
108,Rutgers University - New Brunswick Campus,69,70,53 out of 100.,"Piscataway, NJ","in-state: $13,813, out-of-state: $28,591","48,036",0.6,0.92,0.79,75,91,518800,114200,4 Years,32240
109,Rutgers University - Newark Campus,121,126,40 out of 100.,"Newark, NJ","in-state: $13,297, out-of-state: $28,075","11,212",0.54,0.85,0.67,32,41,617900,115100,5 Years,31720
110,Saint Louis University,94,99,46 out of 100.,"St. Louis, MO","$37,966","13,505",0.64,0.86,0.7,336,490,274000,209000,4 Years,31000
111,Sam Houston State University,230,RNP,U.S. News calculated a numerical rank but does not publish it.,"Huntsville, TX","in-state: $8,932, out-of-state: $19,792","19,210",0.739,0.75,0.51,279,413,298900,74100,5 Years,25800
112,San Diego State University,146,149,34 out of 100.,"San Diego, CA","in-state: $6,866, out-of-state: $18,026","32,759",0.37,0.88,0.67,219,315,337900,95100,5 Years,23200
113,"Seton Hall University - South Orange, NJ",122,126,40 out of 100.,"South Orange, NJ","$36,926","9,903",0.79,0.82,0.64,103,134,467000,196000,4 Years,44800
114,South Carolina State University,231,RNP,U.S. News calculated a numerical rank but does not publish it.,"Orangeburg, SC","in-state: $9,776, out-of-state: $18,910","3,463",0.92,0.63,0.36,761,1170,15900,100100,5 Years,31360
115,South Dakota State University,179,181,27 out of 100.,"Brookings, SD","in-state: $7,713, out-of-state: $9,795","12,554",0.92,0.75,0.57,301,441,290100,72900,5 Years,28280
116,Southern Illinois University,184,189,26 out of 100.,"Carbondale, IL","in-state: $12,251, out-of-state: $24,874","17,964",0.79,0.65,0.44,261,385,307200,95800,5 Years,29640
117,Southern Methodist University,58,58,57 out of 100.,"Dallas, TX","$45,940","10,929",0.51,0.9,0.79,182,256,373700,229300,4 Years,31800
118,"St. John Fisher College - Rochester, NY",139,142,36 out of 100.,"Rochester, NY","$29,550","3,987",0.63,0.83,0.73,736,1131,46100,157200,4 Years,33040
119,"St. John's University - Queens, NY",142,145,35 out of 100.,"Queens, NY","$38,680","20,729",0.53,0.78,0.55,309,452,286800,216200,4 Years,30960
120,Stanford University,4,4,95 out of 100.,"Stanford, CA","$44,757","18,136",0.06,0.98,0.96,5,6,809700,233300,4 Years,29880
121,Stevens Institute of Technology,79,76,50 out of 100.,"Hoboken, NJ","$44,490","5,784",0.38,0.94,0.79,2,3,841000,232000,5 Years,44000
122,Stony Brook University,85,88,48 out of 100.,"Stony Brook, NY","in-state: $8,430, out-of-state: $21,850","24,143",0.4,0.9,0.66,147,196,408900,83200,4 Years,24880
123,SUNY - Albany,123,126,40 out of 100.,"Albany, NY","in-state: $8,527, out-of-state: $20,167","17,338",0.56,0.84,0.66,230,333,328200,84800,4 Years,25960
124,SUNY - Binghamton University,83,88,48 out of 100.,"Binghamton, NY","in-state: $8,619, out-of-state: $20,259","16,077",0.42,0.91,0.81,71,87,526900,86100,4 Years,27040
125,SUNY - College at Buffalo,99,103,45 out of 100.,"Buffalo, NY","in-state: $8,426, out-of-state: $20,366","29,850",0.57,0.88,0.72,716,1103,65700,81300,5 Years,25720
126,Syracuse University,59,58,57 out of 100.,"Syracuse, NY","$41,886","21,267",0.5,0.92,0.81,266,389,304200,218800,4 Years,34720
127,Temple University,119,121,41 out of 100.,"Philadelphia, PA","in-state: $14,770, out-of-state: $25,450","37,270",0.64,0.88,0.66,236,342,325000,118000,5 Years,33760
128,Tennessee State University,232,RNP,U.S. News calculated a numerical rank but does not publish it.,"Nashville, TN","in-state: $6,776, out-of-state: $20,132","8,816",0.529,0.62,0.29,466,704,205600,67400,5 Years,29640
129,Texas A&M University - Commerce Campus,233,RNP,U.S. News calculated a numerical rank but does not publish it.,"Commerce, TX","in-state: $7,096, out-of-state: $17,956","11,068",0.682,0.68,0.45,514,779,180500,72500,5 Years,24760
130,Texas A&M University - Corpus Christi Campus,234,RNP,U.S. News calculated a numerical rank but does not publish it.,"Corpus Christi, TX","in-state: $7,778, out-of-state: $18,398","10,913",0.87,0.61,0.35,376,559,253400,78600,5 Years,25680
131,Texas A&M University - Main Campus,67,68,55 out of 100.,"College Station, TX","in-state: $9,180, out-of-state: $26,356","57,795",0.69,0.92,0.81,30,39,619800,83200,4 Years,24480
132,Texas Southern University,236,RNP,U.S. News calculated a numerical rank but does not publish it.,"Houston, TX","in-state: $7,946, out-of-state: $18,566","8,703",0.45,0.6,0.16,586,893,149900,93100,5 Years,28840
133,Texas Tech University,153,156,32 out of 100.,"Lubbock, TX","in-state: $9,308, out-of-state: $20,168","33,111",0.66,0.82,0.59,130,178,429700,83300,5 Years,30800
134,Texas Woman's University,237,RNP,U.S. News calculated a numerical rank but does not publish it.,"Denton, TX","in-state: $7,560, out-of-state: $18,420","15,129",0.86,0.69,0.42,284,419,296200,67700,5 Years,22280
135,The College of William and Mary,32,33,67 out of 100.,"Williamsburg, VA","in-state: $17,656, out-of-state: $39,360","8,376",0.33,0.96,0.9,91,120,480000,103000,4 Years,26320
136,The New School,131,135,38 out of 100.,"New York, NY","$41,836","10,401",0.67,0.82,0.65,495,751,190400,232600,4 Years,35600
137,Trevecca Nazarene University,238,RNP,U.S. News calculated a numerical rank but does not publish it.,"Nashville, TN","$23,126","2,406",0.684,0.74,0.47,617,941,137500,126200,4 Years,21160
138,Trinity University,239,RNP,U.S. News calculated a numerical rank but does not publish it.,"Deerfield, IL","$27,360","2,687",0.939,0.71,0.45,320,472,281300,181700,4 Years,40400
139,Tufts University,26,27,73 out of 100.,"Medford, MA","$48,643","10,872",0.19,0.97,0.92,96,126,474700,231400,4 Years,25360
140,Tulane University,56,54,58 out of 100.,"New Orleans, LA","$48,305","13,462",0.26,0.9,0.76,317,468,282500,230500,4 Years,34240
141,University of Akron - Main Campus,240,RNP,U.S. News calculated a numerical rank but does not publish it.,"Akron, OH","in-state: $10,320, out-of-state: $18,851","24,928",0.965,0.69,0.4,275,405,301400,91600,5 Years,27280
142,University of Alabama - Birmingham Campus,147,149,34 out of 100.,"Birmingham, AL","in-state: $9,280, out-of-state: $21,220","18,568",0.87,0.8,0.53,440,668,217300,85700,5 Years,27200
143,University of Alabama - Huntsville Campus,182,181,27 out of 100.,"Huntsville, AL","in-state: $9,158, out-of-state: $21,232","7,376",0.81,0.79,0.48,50,62,564700,88300,5 Years,25160
144,University of Alaska - Fairbanks Campus,241,RNP,U.S. News calculated a numerical rank but does not publish it.,"Fairbanks, AK","in-state: $6,752, out-of-state: $20,072","9,256",0.799,0.76,0.38,86,115,486700,66300,5 Years,21360
145,University of Arizona,120,121,41 out of 100.,"Tucson, AZ","in-state: $10,581, out-of-state: $28,379","40,621",0.78,0.79,0.61,167,230,388300,94700,4 Years,24880
146,University of Arkansas - Little Rock Campus,242,RNP,U.S. News calculated a numerical rank but does not publish it.,"Little Rock, AR","in-state: $7,909, out-of-state: $18,979","12,377",0.687,0.7,0.24,564,855,159000,84000,5 Years,18920
147,University of Arkansas - Main Campus,132,135,38 out of 100.,"Fayetteville, AR","in-state: $8,210, out-of-state: $20,300","25,341",0.59,0.82,0.6,259,382,309400,83600,4 Years,25760
148,University of California - Berkeley,19,20,79 out of 100.,"Berkeley, CA","in-state: $13,844, out-of-state: $25,064","36,204",0.18,0.97,0.91,17,20,703100,129900,4 Years,23360
149,University of California - Davis,38,38,64 out of 100.,"Davis, CA","in-state: $13,896, out-of-state: $36,774","33,307",0.41,0.93,0.84,85,114,487300,125700,4 Years,22280
150,University of California - Irvine,44,42,62 out of 100.,"Irvine, CA","in-state: $14,757, out-of-state: $37,635","28,895",0.41,0.94,0.86,69,84,535000,118000,4 Years,21440
151,University of California - Los Angeles,22,23,76 out of 100.,"Los Angeles, CA","in-state: $12,702, out-of-state: $35,580","42,190",0.2,0.97,0.9,94,124,477500,125500,4 Years,24840
152,University of California - Riverside,108,113,43 out of 100.,"Riverside, CA","in-state: $13,408, out-of-state: $36,286","21,285",0.6,0.88,0.69,201,283,360500,122600,4 Years,20400
153,University of California - San Diego,36,37,65 out of 100.,"La Jolla, CA","in-state: $13,302, out-of-state: $36,180","28,731",0.37,0.95,0.86,29,37,625000,118000,4 Years,22440
154,University of California - Santa Barbara,40,40,63 out of 100.,"Santa Barbara, CA","in-state: $13,746, out-of-state: $36,624","22,225",0.4,0.92,0.86,118,158,444900,128200,4 Years,24120
155,University of California - Santa Cruz,81,85,49 out of 100.,"Santa Cruz, CA","in-state: $13,398, out-of-state: $36,276","17,203",0.52,0.9,0.76,316,467,282700,130300,4 Years,22840
156,University of Central Florida,173,173,28 out of 100.,"Orlando, FL","in-state: $6,368, out-of-state: $22,467","59,740",0.49,0.87,0.67,267,393,303600,79400,5 Years,22600
157,University of Chicago,5,4,95 out of 100.,"Chicago, IL","$48,253","12,539",0.09,0.99,0.93,106,142,458000,245000,4 Years,24760
158,University of Cincinnati,127,129,39 out of 100.,"Cincinnati, OH","in-state: $11,000, out-of-state: $26,334","32,857",0.73,0.85,0.64,119,159,444300,108700,5 Years,27480
159,University of Colorado - Boulder,87,88,48 out of 100.,"Boulder, CO","in-state: $10,789, out-of-state: $33,151","31,702",0.88,0.85,0.7,153,206,403300,109700,4 Years,32920
160,University of Colorado - Denver Campus,243,RNP,U.S. News calculated a numerical rank but does not publish it.,"Denver, CO","in-state: $9,625, out-of-state: $26,105","22,206",0.693,0.74,0.41,187,262,371000,92000,5 Years,21760
161,University of Connecticut,60,58,57 out of 100.,"Storrs, CT","in-state: $12,700, out-of-state: $32,880","25,911",0.54,0.93,0.83,111,149,449700,103300,4 Years,29760
